Company,TypeName,Ram,OpSys,Weight,TouchScreen,Ips,Cpu_Speed,Cpu_Type,Gpu_vender,HDD,SSD,ppi,Price_USD
HP,Notebook,8,Windows 10,1.49,0,0,1.8,Intel Core i7,Intel,0,512,165.6321180513006,1158.15
Acer,Notebook,4,Windows 10,2.4,0,0,2.4,Intel Core i3,Intel,1000,0,100.45466986113652,403.2
Dell,Notebook,8,Windows 10,2.13,0,0,1.8,Intel Core i7,AMD,0,256,141.21199808219862,806.19
HP,Notebook,4,Windows 10,1.91,0,0,2.0,Intel Core i3,Intel,0,128,141.21199808219862,460.95
Asus,Notebook,4,Windows 10,2.0,0,0,2.5,Intel Core i5,Intel,0,256,100.45466986113652,615.5
MSI,Gaming,16,Windows 10,2.43,0,0,2.8,Intel Core i7,Nvidia,2000,256,127.33567457123112,2571.45
Asus,Notebook,4,Linux,2.0,0,0,2.0,Intel Core i3,Intel,0,256,141.21199808219862,435.75
Dell,Notebook,16,Windows 10,2.8,0,0,1.8,Intel Core i7,AMD,2000,256,127.33567457123112,1363.95
Dell,Ultrabook,8,Windows 10,1.7,0,0,1.6,Intel Core i5,Intel,0,256,157.3505121487356,922.95
Lenovo,Notebook,8,No OS,1.7,0,1,2.7,Intel Core i3,Intel,0,256,157.3505121487356,628.95
Asus,Notebook,8,Windows 10,1.4,0,0,1.6,Intel Core i5,Intel,0,256,157.3505121487356,988.05
HP,Notebook,8,Windows 10,1.86,0,0,2.5,Intel Core i5,Intel,0,256,141.21199808219862,724.5
Asus,Ultrabook,16,Windows 10,1.8,0,0,2.8,Intel Core i7,Nvidia,0,512,141.21199808219862,2082.15
HP,Notebook,4,Windows 10,1.86,0,0,2.0,Intel Core i3,AMD,500,0,100.45466986113652,460.62
HP,Notebook,4,Windows 10,1.44,0,0,1.6,Other Intel Processor,Intel,0,32,111.93520355955212,240.45
Lenovo,Notebook,4,Windows 10,1.9,0,0,2.5,Intel Core i5,Intel,1000,0,141.21199808219862,576.45
Asus,Gaming,12,Linux,3.0,0,0,2.8,Intel Core i7,Nvidia,1000,0,127.33567457123112,996.45
Microsoft,Ultrabook,4,Windows 10 S,1.252,1,0,2.5,Intel Core i5,Intel,0,128,200.84255993695703,1143.45
Dell,Ultrabook,8,Windows 10,1.4,0,1,1.8,Intel Core i7,AMD,0,256,165.6321180513006,1002.75
Dell,Notebook,8,Windows 10,2.2,0,0,1.8,Intel Core i7,AMD,0,256,141.21199808219862,913.5
MSI,Gaming,8,Windows 10,2.7,0,0,2.5,Intel Core i5,Nvidia,1000,128,127.33567457123112,1149.75
Acer,Notebook,8,Windows 10,2.1,0,0,2.0,Intel Core i3,Intel,1000,0,111.93520355955212,408.45
Asus,Gaming,8,Windows 10,2.2,0,0,2.8,Intel Core i7,Nvidia,1000,0,141.21199808219862,996.45
Lenovo,Notebook,8,No OS,2.2,0,0,2.5,Intel Core i5,Intel,2000,0,141.21199808219862,544.95
Dell,Notebook,8,Windows 10,2.02,0,0,1.8,Intel Core i7,Intel,1000,128,141.21199808219862,897.75
Acer,Notebook,4,Windows 10,2.2,0,0,2.7,Intel Core i3,Nvidia,1000,0,141.21199808219862,556.5
HP,Notebook,8,Windows 10,2.5,0,0,1.6,Intel Core i5,Nvidia,1000,128,127.33567457123112,1025.85
Dell,Ultrabook,8,Windows 10,1.88,0,1,1.6,Intel Core i5,Intel,0,256,141.21199808219862,1150.97
Apple,Ultrabook,8,macOS,0.92,0,1,1.3,Intel Core i5,Intel,0,512,226.4155471693585,1585.5
HP,Notebook,8,Windows 10,1.63,0,0,1.6,Intel Core i5,Intel,0,256,157.3505121487356,903.0
Lenovo,Notebook,4,Windows 10,2.2,0,0,2.5,AMD Processor,AMD,0,128,141.21199808219862,418.95
Acer,Notebook,4,Windows 10,2.1,0,0,3.0,AMD Processor,AMD,1000,0,100.45466986113652,414.75
Dell,Gaming,16,Windows 10,2.65,0,1,2.8,Intel Core i7,Nvidia,1000,128,141.21199808219862,1416.45
HP,Ultrabook,8,Windows 10,1.83,0,1,1.8,Intel Core i7,Nvidia,0,256,141.21199808219862,733.95
HP,Notebook,8,Windows 10,1.96,0,0,2.5,Intel Core i5,Intel,0,256,141.21199808219862,628.94
Asus,Gaming,16,Windows 10,2.2,0,1,2.8,Intel Core i7,Nvidia,1000,128,141.21199808219862,1521.45
Dell,Ultrabook,8,Windows 10,1.21,0,1,1.8,Intel Core i7,Intel,0,256,165.6321180513006,1731.45
Asus,Gaming,8,Windows 10,2.45,0,0,3.0,AMD Processor,AMD,1000,0,141.21199808219862,733.95
Acer,Notebook,8,Windows 10,2.2,0,0,1.8,Intel Core i7,Nvidia,1000,0,141.21199808219862,723.45
HP,Notebook,16,Windows 10,1.49,0,0,1.8,Intel Core i7,Intel,0,512,165.6321180513006,1256.85
Dell,Gaming,8,Windows 10,2.65,0,0,2.5,Intel Core i5,Nvidia,0,256,141.21199808219862,1254.75
Asus,Ultrabook,8,Windows 10,1.25,0,0,2.7,Intel Core i7,Intel,0,256,157.3505121487356,1101.45
Acer,2 in 1 Convertible,8,Windows 10,1.5,1,1,1.6,Intel Core i5,Intel,0,256,165.6321180513006,889.35
Dell,Notebook,8,Linux,2.2,0,0,2.7,Intel Core i7,AMD,1000,0,141.21199808219862,629.9
Dell,Notebook,4,Linux,2.2,0,0,2.0,Intel Core i3,AMD,0,256,141.21199808219862,509.25
Asus,Notebook,6,Windows 10,2.0,0,0,2.4,Intel Core i3,Nvidia,0,256,141.21199808219862,605.85
HP,Gaming,12,Windows 10,2.62,0,1,2.8,Intel Core i7,Nvidia,1000,128,141.21199808219862,1311.45
HP,Notebook,8,Windows 10,1.91,0,0,2.7,Intel Core i7,AMD,0,256,141.21199808219862,754.95
HP,Notebook,4,Windows 10,2.1,0,0,1.5,AMD Processor,AMD,500,0,141.21199808219862,366.45
Dell,Notebook,8,Linux,2.2,0,0,1.6,Intel Core i5,AMD,1000,0,141.21199808219862,679.35
HP,Ultrabook,8,Windows 10,1.38,0,1,2.7,Intel Core i7,Nvidia,0,256,165.6321180513006,1174.95
Microsoft,Ultrabook,8,Windows 10 S,1.252,1,0,2.5,Intel Core i5,Intel,0,256,200.84255993695703,1407.0
HP,Notebook,6,Windows 10,1.58,0,1,2.5,Intel Core i5,Nvidia,0,256,157.3505121487356,691.95
Lenovo,Notebook,4,Windows 10,1.85,0,0,2.0,Intel Core i3,Intel,1000,0,141.21199808219862,435.64
Asus,Ultrabook,8,Windows 10,1.3,0,1,2.7,Intel Core i7,Nvidia,0,256,157.3505121487356,1252.65
MSI,Gaming,16,Windows 10,2.2,0,0,2.8,Intel Core i7,Nvidia,1000,256,141.21199808219862,1363.95
Lenovo,Notebook,8,Windows 10,1.58,0,1,2.7,Intel Core i7,Intel,0,256,157.3505121487356,1554.0
Asus,Ultrabook,16,Windows 10,1.5,0,0,1.8,Intel Core i7,Nvidia,1000,256,141.21199808219862,1325.1
Dell,Ultrabook,8,Windows 10,1.23,1,0,2.4,Intel Core i7,Intel,0,256,276.053530085501,1447.95
Lenovo,2 in 1 Convertible,8,Windows 10,1.37,1,1,2.5,Intel Core i5,Intel,0,256,165.6321180513006,1468.95
HP,Notebook,4,Windows 10,1.63,0,1,1.6,Intel Core i5,Intel,500,0,111.93520355955212,758.1
Dell,Ultrabook,8,Windows 10,1.21,0,1,1.6,Intel Core i5,Intel,0,256,165.6321180513006,1710.45
HP,2 in 1 Convertible,8,Windows 10,1.26,1,1,1.6,Intel Core i5,Intel,0,256,165.6321180513006,1468.94
HP,Notebook,8,Windows 10,1.63,0,0,1.8,Intel Core i7,Intel,0,512,157.3505121487356,1138.2
Dell,Notebook,8,Windows 10,2.16,0,1,1.8,Intel Core i7,Nvidia,1000,256,141.21199808219862,1186.85
Asus,Notebook,4,Windows 10,2.0,0,0,2.0,Intel Core i3,Nvidia,1000,0,127.33567457123112,592.2
Asus,Notebook,8,Windows 10,1.7,0,0,1.8,Intel Core i7,Nvidia,0,256,141.21199808219862,1173.9
Acer,Notebook,6,Windows 10,2.1,1,1,2.4,Intel Core i3,Intel,1000,0,141.21199808219862,502.95
MSI,Gaming,16,Windows 10,1.8,0,0,2.8,Intel Core i7,Nvidia,2000,256,141.21199808219862,2353.58
Lenovo,Notebook,8,No OS,2.2,0,0,2.5,Intel Core i5,Nvidia,0,256,141.21199808219862,660.45
HP,Notebook,16,Windows 10,2.5,0,0,1.8,Intel Core i7,Nvidia,0,512,127.33567457123112,1334.55
Acer,Notebook,4,Windows 10,2.1,0,0,3.0,AMD Processor,AMD,0,256,100.45466986113652,473.55
HP,Notebook,4,No OS,1.86,0,0,1.6,Other Intel Processor,Intel,500,0,100.45466986113652,271.95
HP,Notebook,8,Windows 10,1.63,0,0,1.6,Intel Core i5,Intel,1000,0,157.3505121487356,852.6
Asus,Notebook,4,Windows 10 S,1.65,0,0,1.5,AMD Processor,AMD,0,64,111.93520355955212,291.89
Dell,Notebook,16,Windows 10,2.8,0,0,1.8,Intel Core i7,AMD,2000,256,127.33567457123112,1465.8
HP,Notebook,8,Windows 10,2.5,0,0,1.6,Intel Core i5,Intel,0,256,127.33567457123112,974.4
Dell,Notebook,8,Windows 10,2.36,0,0,2.5,Intel Core i5,AMD,1000,0,100.45466986113652,670.94
Dell,Notebook,4,Windows 10,2.2,0,0,2.0,Intel Core i3,AMD,1000,0,141.21199808219862,471.45
Acer,Ultrabook,8,Windows 10,1.6,0,1,1.8,Intel Core i7,Intel,0,256,157.3505121487356,928.2
